Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE LA MOLINA,135336737,147102412,139775276,134485899,132627263,131137494,131061738,89.1,2023,89.1,LA MOLINA,15964918
MUNICIPALIDAD DISTRITAL DE CARABAYLLO,124844252,143844152,139734894,136166138,130072517,123390682,123390682,85.8,2024,85.8,CARABAYLLO,20453470
MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),124649339,142961478,142960916,142960914,142960914,142942304,142942304,100.0,2025,100.0,LURIGANCHO,19174
MUNICIPALIDAD DISTRITAL DE LA VICTORIA,124679681,142063126,137209452,134826929,131473283,131279207,131278457,92.4,2023,92.4,LA VICTORIA,10783919
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS,108133816,141042169,139053919,133955906,133925368,131088790,131088630,92.9,2024,92.9,LOS OLIVOS,9953379
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,122002521,136156691,123621048,109807022,71612897,58936700,56283518,43.3,2026,43.3,SAN MIGUEL,77219991
MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),113303166,132869420,132743285,132641454,132626495,131089346,131080639,98.7,2024,98.7,LURIGANCHO,1780074
MUNICIPALIDAD DISTRITAL DE CARABAYLLO,92642286,131807286,115060324,113325638,111144179,107923863,107913042,81.9,2023,81.9,CARABAYLLO,23883423
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,113230443,128643590,127265623,126634519,126601408,126151047,126145168,98.1,2025,98.1,SAN MIGUEL,2492543
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,100074895,127067577,121315697,113785125,109115874,105261469,105257299,82.8,2023,82.8,SAN JUAN DE MIRAFLORES,21806108
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,111167565,126237030,122319994,121282395,119066971,118511570,118491732,93.9,2024,93.9,SAN MIGUEL,7725460
MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),86540112,123655988,122593023,121656722,119761388,114804786,114409858,92.8,2023,92.8,LURIGANCHO,8851202
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,88406875,123642736,119473260,114527308,113648562,113478759,113340497,91.8,2025,91.8,INDEPENDENCIA,10163977
MUNICIPALIDAD DISTRITAL DE LURIN,107865183,122670864,121593656,120870131,120798959,110455511,110455511,90.0,2025,90.0,LURIN,12215353
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS,89095764,118108075,115759613,112994547,112777024,106796541,106783039,90.4,2023,90.4,LOS OLIVOS,11311534
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,88343878,116200760,111032894,108329831,106627880,106568827,106555580,91.7,2023,91.7,SAN MIGUEL,9631933
MUNICIPALIDAD DISTRITAL DE LURIN,108470723,114707218,97434136,79089586,77391132,54648014,51316612,47.6,2026,47.6,LURIN,60059204
MUNICIPALIDAD DISTRITAL DE PACHACAMAC,89950957,112106967,83923131,44570782,44295242,32526122,31541704,29.0,2026,29.0,PACHACAMAC,79580845
MUNICIPALIDAD DISTRITAL DE SANTA ANITA,98477981,112101221,81645336,55398411,48942861,43990983,42737337,39.2,2026,39.2,SANTA ANITA,68110238
MUNICIPALIDAD DISTRITAL DE JESUS MARIA,90812933,111851229,108758166,107085020,107022891,106999203,106999203,95.7,2025,95.7,JESUS MARIA,4852026
MUNICIPALIDAD DISTRITAL DE JESUS MARIA,98145641,107328532,103815687,103213267,101229827,101227422,101227206,94.3,2024,94.3,JESUS MARIA,6101110
MUNICIPALIDAD DISTRITAL DE JESUS MARIA,100304156,107261179,93668803,70943735,70899116,46571458,44523131,43.4,2026,43.4,JESUS MARIA,60689721
MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,84458426,106752497,104927256,98933497,98576655,91807386,91806186,86.0,2025,86.0,EL AGUSTINO,14945111
